,pitch_type,release_speed,release_pos_x,release_pos_z,pfx_x,pfx_z,vx0,vy0,ax,ay,az,effective_speed,release_spin_rate,release_extension,pitch_name
3610,SL,88.0,-2.471,5.9063,0.4075,0.3522,9.6568,-127.857,2.7339,23.8042,-27.615,88.627,2208.0,6.547,Slider
3611,SL,88.7,-2.3479,6.0188,0.2431,0.6454,9.6694,-129.0042,0.9334,24.3442,-24.2187,89.518,2037.0,6.615,Slider
3612,FF,93.5,-2.1514,6.002,-0.9756,1.0763,9.8111,-135.9325,-14.4374,27.7883,-17.3759,94.89,1998.0,6.996,4-Seam Fastball
3613,FT,92.7,-2.4026,5.9528,-1.4654,0.6703,10.4145,-134.7173,-20.2213,28.284,-23.2873,93.219,1976.0,6.592,2-Seam Fastball
3614,CH,86.5,-2.495,5.8766,-1.3011,0.4224,5.3404,-125.9046,-15.1615,25.2991,-26.5174,87.447,1600.0,6.849,Changeup
3615,CH,85.8,-2.4475,5.946,-1.269,0.6242,5.2283,-124.986,-14.6856,24.175,-24.6559,87.259,1708.0,7.063,Changeup
3616,FF,92.1,-2.3721,5.9574,-0.3947,1.1704,8.2699,-134.0858,-6.5579,27.1283,-16.8516,93.51,1946.0,6.951,4-Seam Fastball
3617,CU,79.0,-2.4495,5.9748,1.2214,-0.6081,2.3225,-115.062,10.4139,20.531,-38.0041,79.098,2544.0,6.221,Curveball
3618,SL,89.3,-2.4127,5.8948,0.2637,0.5406,6.9524,-130.0667,1.7902,24.081,-25.1177,90.823,2187.0,6.902,Slider
3619,CH,88.0,-2.379,5.9347,-1.3374,0.327,6.0763,-128.1107,-16.119,24.3076,-27.96,88.905,1739.0,6.645,Changeup
3620,FF,94.2,-2.3885,5.8895,-0.6974,1.3504,9.2853,-136.9947,-11.017,29.2766,-13.8463,95.664,2169.0,7.093,4-Seam Fastball
3621,CH,87.5,-2.4861,5.9311,-1.3093,0.6167,6.2939,-127.4213,-15.7809,24.6144,-24.6178,88.647,1829.0,6.829,Changeup
3622,CH,87.8,-2.3819,5.9476,-1.4467,0.1486,9.986,-127.4923,-17.9346,24.558,-29.3472,88.41,1675.0,6.645,Changeup
3623,FF,93.2,-2.3886,5.9197,-0.6065,1.2765,7.7758,-135.722,-9.2509,28.4161,-15.937,94.22,2133.0,6.749,4-Seam Fastball
3624,CU,79.0,-2.427,5.9544,1.2532,-0.7905,1.8486,-114.9682,10.5734,22.1928,-39.6479,78.414,2669.0,5.965,Curveball
3625,CH,86.5,-2.4903,6.0928,-1.3493,0.537,5.5456,-126.0054,-15.6887,23.2804,-26.0218,87.623,1862.0,6.735,Changeup
3626,CH,87.6,-2.5594,5.9746,-1.3208,0.4058,8.9615,-127.3402,-16.4543,23.7824,-26.8947,88.929,1794.0,6.968,Changeup
3627,FT,93.9,-2.4375,5.9541,-1.3495,0.6998,6.7108,-136.7017,-18.6891,28.154,-22.6238,95.187,2124.0,6.863,2-Seam Fastball
3628,FF,93.9,-2.459,5.9681,-0.9698,1.3149,8.6493,-136.2773,-14.0074,28.7347,-13.824,94.177,2113.0,6.506,4-Seam Fastball
3629,FT,93.6,-2.254,5.9292,-1.4683,0.6336,9.1536,-136.1185,-20.6238,27.5124,-23.2865,95.056,2061.0,6.991,2-Seam Fastball
3630,CU,81.1,-2.5606,5.9535,1.1887,-0.7455,6.8047,-117.8637,9.6175,22.7238,-38.7695,80.522,2790.0,5.996,Curveball
3631,CU,80.4,-2.4087,5.9501,1.2022,-0.6089,4.4013,-117.13,10.3203,22.0816,-38.2219,80.914,2717.0,6.572,Curveball
3632,CH,88.2,-2.4209,5.9919,-1.4147,0.3738,8.6605,-128.2203,-17.782,24.4549,-26.8131,89.772,1874.0,7.134,Changeup
3633,FF,94.0,-2.4741,5.9209,-0.9422,1.3535,7.7859,-136.71,-13.6252,29.1966,-14.5358,94.685,2194.0,6.648,4-Seam Fastball
3634,FF,94.1,-2.4998,5.9462,-0.8936,1.3776,8.4132,-136.8469,-13.1444,28.8757,-14.0121,94.787,2171.0,6.624,4-Seam Fastball
3635,FF,93.5,-2.3877,5.9459,-0.9982,1.151,6.3773,-136.0885,-13.9978,28.5076,-16.3642,94.657,2082.0,6.849,4-Seam Fastball
3636,SL,83.2,-1.7702,6.0977,-0.4974,1.2774,4.5648,-121.1166,-5.6802,22.4737,-19.5341,82.786,2097.0,5.879,Slider
3637,SL,83.7,-1.6136,6.163,-0.4553,1.5678,2.4576,-121.6093,-4.8688,24.7403,-16.6501,82.215,2116.0,5.462,Slider
3638,SL,82.9,-2.0277,5.9603,-0.6518,1.4305,6.9767,-120.3629,-7.4597,22.4202,-18.6069,81.617,2166.0,5.456,Slider
3639,SL,78.5,-1.9516,6.0446,-0.69,1.3436,4.1486,-114.16,-6.6217,20.4277,-20.7376,77.498,1938.0,5.546,Slider
3640,SL,70.5,-2.3414,5.6649,0.6793,0.5708,5.9186,-102.3318,3.6695,16.0664,-28.2071,69.063,,5.172,Slider
3641,SL,81.0,-1.9488,5.994,-0.7556,1.3426,4.9183,-117.6915,-7.7119,21.5095,-19.4868,79.715,2052.0,5.4,Slider
3642,SL,68.8,-2.2346,5.7116,0.9342,0.1876,4.2655,-99.6887,5.0634,17.8713,-31.7116,66.225,,4.645,Slider
3643,SL,80.2,-2.0559,5.9654,-0.6127,1.4917,7.3039,-116.4727,-6.7328,20.8941,-18.5723,78.983,2045.0,5.448,Slider
3644,SL,75.5,-2.2102,5.9391,-0.6885,1.4021,5.2781,-109.5886,-6.1427,18.1324,-21.1738,73.416,1950.0,4.72,Slider
3645,SL,79.5,-1.9249,6.055,-0.6318,1.4981,3.1521,-115.4998,-6.0599,20.7583,-18.1174,78.285,2013.0,5.443,Slider
3646,FF,59.3,-1.3326,6.7206,-0.8825,1.3356,3.3328,-85.9933,-4.44,11.0959,-26.6111,56.523,1469.0,3.617,4-Seam Fastball
3647,FF,59.2,-1.1985,6.8213,-0.6597,1.515,3.5553,-85.822,-3.4632,11.2558,-25.7369,56.517,1547.0,3.764,4-Seam Fastball
3648,FF,60.0,-1.0951,6.9009,-0.7438,1.67,3.7392,-87.0337,-4.0121,11.5167,-24.5493,57.678,1597.0,4.117,4-Seam Fastball
3649,FF,58.5,-1.1939,6.8466,-0.7176,1.8558,2.7059,-84.845,-3.5081,11.1322,-24.2401,55.567,1558.0,3.469,4-Seam Fastball
3650,FF,56.6,-1.0933,6.9714,-0.8474,1.9579,3.9076,-82.0145,-3.9487,9.9249,-24.1134,53.698,1493.0,3.356,4-Seam Fastball
3651,FF,61.0,-1.2675,6.8546,-0.5649,1.6737,3.2532,-88.5525,-3.1356,11.175,-24.4254,58.251,1553.0,3.559,4-Seam Fastball
3652,FF,62.7,-1.2619,6.7769,-0.7894,1.8066,1.2076,-91.0078,-4.1988,13.4445,-23.1922,59.826,1634.0,3.793,4-Seam Fastball
3653,FF,59.0,-1.0993,6.8617,-0.5611,1.9026,2.463,-85.5392,-2.8537,11.8393,-24.0516,56.095,1490.0,3.645,4-Seam Fastball
3654,FF,63.1,-1.3355,6.6684,-0.7184,1.7162,3.1729,-91.4958,-4.1733,13.7483,-23.7753,60.13,1576.0,3.803,4-Seam Fastball
3655,FF,62.3,-1.3575,6.6431,-0.8364,1.7715,3.8113,-90.3956,-4.7854,13.2127,-23.2449,59.615,1580.0,3.97,4-Seam Fastball
3656,FF,61.0,-1.2875,6.7304,-0.5721,1.3781,2.6183,-88.2559,-3.135,12.64,-26.3953,58.237,1439.0,4.011,4-Seam Fastball
3657,FF,60.7,-1.2302,6.7348,-0.7325,1.6378,2.5907,-88.0456,-3.8756,12.1835,-24.5895,58.105,1523.0,3.947,4-Seam Fastball
3658,FF,64.5,-1.1994,6.7197,-0.7567,1.5027,2.9216,-93.5286,-4.5272,13.4942,-24.5535,61.771,1589.0,3.951,4-Seam Fastball
3659,FF,59.4,-1.268,6.7621,-0.5683,1.6812,2.4109,-86.1446,-2.9259,11.4106,-25.0464,56.789,1477.0,3.838,4-Seam Fastball
